model_period,variables,4 hours,8 hours
Pre,(Intercept),-0.9208178632080751,1.7579648743513312
Pre,quarter_1,NA,NA
Pre,quarter_2,-0.07778122420541853,-0.04648231216854829
Pre,quarter_3,0.20148079491216017,0.14860162677626845
Pre,quarter_4,NA,NA
Pre,weekend_1,-0.07489056991329557,-0.08241562635430713
Pre,time_of_report_12,1.4434527688893133,0.5834721586410746
Pre,time_of_report_16,1.3594671128162295,0.45922855598429935
Pre,time_of_report_22,0.675342549999236,-0.39276782238091895
Post,(Intercept),-1.5123655365314643,1.2964576041457807
Post,quarter_1,-0.5424570947755767,-0.42385303779752886
Post,quarter_2,0.4496179858164464,0.07894731265589229
Post,quarter_3,0.7946365767302311,0.40825938166922426
Post,quarter_4,NA,NA
Post,weekend_1,-0.14433903067780982,-0.1901305115969021
Post,time_of_report_12,1.3862943611199092,0.7180568934152952
Post,time_of_report_16,1.3838876210893263,0.7129788991883597
Post,time_of_report_22,0.8278797745301039,-0.14247333000018333
Pre + Post,(Intercept),-1.3467818335078208,1.4209718401724074
Pre + Post,quarter_1,-0.06525190181053203,-0.10615338820668574
Pre + Post,quarter_2,0.22470419293299748,0.036328560590390926
Pre + Post,quarter_3,0.5428172245284498,0.31367532794570896
Pre + Post,quarter_4,NA,NA
Pre + Post,weekend_1,-0.0938568618495009,-0.1392181818355124
Pre + Post,time_of_report_12,1.4868759941219973,0.7265995463774317
Pre + Post,time_of_report_16,1.4623936643608038,0.6846911856449474
Pre + Post,time_of_report_22,0.8735288333723258,-0.16635008561356543
Post-SDEC,(Intercept),-2.1589849228920026,0.6291900224036855
Post-SDEC,quarter_1,-0.00443793745696012,-0.065108361406256
Post-SDEC,quarter_2,-0.13769253525457215,-0.22261471279781064
Post-SDEC,quarter_3,NA,NA
Post-SDEC,quarter_4,NA,NA
Post-SDEC,weekend_1,0.19180650738844823,-0.09982659625854937
Post-SDEC,time_of_report_12,1.2919836816486443,1.111745685697042
Post-SDEC,time_of_report_16,1.4996230464268991,1.177564840341028
Post-SDEC,time_of_report_22,0.8586616190375207,0.2669299860630388
